id,run_id,repository_id,name,head_branch,head_sha,path,conclusion,workflow_id,actor_name,git_num_committers,repo_team_size_last_3_month,commit_message_issue_ref,gh_commits_on_files_touched,git_commit_attention,trigger_event,gh_pr_description_complexity,gh_num_pr_comments,pr_number,git_same_committer,gh_previous_build_result,git_commits,base_sha,gh_files_modified,gh_lines_added,gh_lines_deleted,gh_other_files,gh_hotspot_files_touched,gh_src_files,gh_src_churn,gh_files_type_modified,gh_test_churn,gh_files_entropy,gh_cross_module_changes,ast_class_added,ast_class_deleted,ast_class_modified,ast_class_changed,ast_met_added,ast_met_deleted,ast_met_changed,ast_met_sig_modified,ast_field_added,ast_field_deleted,ast_field_changed,ast_import_added,ast_import_deleted,ast_import_changed,src_ast_diff,test_ast_diff,gh_dependencies_churn,dependencies_count,gh_files_added,gh_files_deleted,gh_tests_added,gh_tests_deleted,gh_doc_files,gh_config_files,ast_met_body_modified,dockerfile_changed,docker_compose_changed,workflow_size,external_github_resource,test_frameworks,build_language,sloc_initial,test_lines_initial,test_lines_per_1000_sloc,tests_passed,tests_failed,tests_skipped,tests_total,tests_ran,repo_fail_rate_history,gh_committer_bayesian_trust_score_history,repo_fail_rate_recent,gh_committer_bayesian_trust_score_recent,git_committer_repo_exp,is_core_member,concurrent_jobs,committer_cross_project_exp,gh_committer_first_build,prev_build_same_files_touched,repo_ci_config_churn_nums,is_master
32524,7827698694,436039945,build,issue-770,a4152403c0fef2f56132691595132a6e204256c2,.github/workflows/build.yml,success,16380626,bmaidics,22,12,1.0,3.0,{'fix'},pull_request,56,0,784.0,1,success,3,795beed980efddea0799e6944c439296797836d8,2,5,1,0,1,1,4,1,2,0,0,0,0,2,2,0,0,0,12,0,0,0,1,0,1,1,1,0,45,0,0,2,0,0,0,0,0,0,42,0,['junit'],java-maven,404792,575829,1422.53,30897,1,932,31833,0,0.0441056,0.482426,0.0157909,0.565789,4,1,3,0,0,0.0,0,0
32525,8740196599,436039945,build,test_pr,38721cec720068440a3592fbdcd7a0904aa391dd,.github/workflows/build.yml,failure,16380626,bmaidics,22,9,,,,pull_request,0,0,,1,success,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,42,0,['junit'],java-maven,465492,625355,1343.43,43236,0,1302,44538,0,0.0225973,0.729657,0.00490063,0.704441,11,1,3,0,0,0.0,0,0
32526,9019789733,436039945,build,unify_caching,4fba34fe6e99b198a0325f14cdce3e99947dcb0d,.github/workflows/build.yml,success,16380626,ankitk-me,22,9,0.0,13.0,"{'fix', 'style', 'chore'}",pull_request,48,0,977.0,1,success,13,4f3d40ee690ed3c5add32b394431a70e6b7a7772,18,1251,257,0,1,9,503,6,1005,2,1,2,1,11,14,14,3,17,28,32,4,36,35,18,53,1,1,0,47,13,1,803,202,0,0,3,0,0,42,0,['junit'],java-maven,465433,628266,1349.85,41658,0,1242,42902,0,0.017969,0.880591,0.00245031,0.999279,5,0,3,0,1,1.0,0,0
32527,9861089298,436039945,build,catalog-naming,f801537e39e5ebca6264d8879d4e117902bdbfef,.github/workflows/build.yml,success,16380626,jfallows,23,10,0.0,8.0,"{'feat', 'fix', 'refactor'}",pull_request,48,0,1134.0,1,success,8,2c774c3f80b7afba692208c93e25761579df3075,77,2910,850,15,1,45,1446,12,1906,3,1,29,2,21,52,9,18,27,96,5,15,20,214,32,246,1,1,0,53,41,6,1690,216,0,0,5,0,0,45,0,['junit'],java-maven,488655,654086,1338.54,11016,0,98,11114,0,0.0147019,0.865067,0.00136129,0.912896,31,0,3,0,1,0.0,0,0
32528,9176642994,436039945,build,dump-test,87c661beaea62bb339a8257a0d62a147af10d3a9,.github/workflows/build.yml,failure,16380626,attilakreiner,22,9,0.0,69.0,"{'feat', 'fix', 'refactor', 'revert', 'test', 'chore'}",pull_request,101,0,989.0,1,success,69,4533f65861ca605769647d27d39f297bd13cac0e,14,12986,9599,48,1,2,67,6,19799,2,1,27,1,10,38,9,0,9,89,5,1,6,291,44,335,0,1,0,47,103,10,10212,9587,0,0,1,0,0,42,0,['junit'],java-maven,467008,632317,1353.97,43656,0,1290,44946,0,0.0236864,0.811885,0.0108903,0.836366,4,0,3,0,1,1.0,0,0
32529,7632056721,436039945,build,resolver-config,ff66119b9dd9579ac1b87e6598a97b9e818e37e9,.github/workflows/build.yml,failure,16380626,jfallows,22,14,0.0,2.0,{'refactor'},pull_request,15,0,758.0,1,success,2,5371f82698b3fc4197716f5b231136990ad2bd14,13,1031,51,9,1,14,278,7,59,2,1,8,0,2,10,0,0,0,12,0,0,0,22,2,24,1,1,0,45,13,2,45,14,0,0,0,0,0,42,0,['junit'],java-maven,397551,570692,1435.52,29814,1,822,30640,0,0.038116,0.829148,0.00735094,0.863872,19,0,3,0,1,0.0,0,0
32530,8642061864,436039945,build,dynamic-composite-namespace-fix,d6c8593ca7d764c500cab749058c83466d2be8fb,.github/workflows/build.yml,success,16380626,jfallows,22,10,0.0,1.0,,pull_request,56,0,910.0,1,success,1,b2bc8fdf0c85ba295bbb7677ea1099362751b1ac,25,276,355,0,1,24,552,2,79,0,1,0,2,22,24,11,6,17,248,20,5,25,22,15,37,1,1,0,47,0,3,21,58,0,0,3,0,0,42,0,['junit'],java-maven,465390,625234,1343.46,42892,0,1306,44203,0,0.0253199,0.862399,0.0130683,0.839424,30,0,3,0,1,0.0,0,0
32531,8669833607,436039945,build,kafka-cache-null-payload-with-converter,dc08b9a2c446768b6687fde760fad2fc781d360f,.github/workflows/build.yml,success,16380626,jfallows,22,9,0.0,1.0,,pull_request,17,0,923.0,1,success,1,ebff3239ba85755605118e044ca1783b3e59f74a,1,2,4,0,1,1,6,1,0,0,0,0,0,1,1,0,0,0,18,0,2,2,0,0,0,1,0,0,47,0,0,0,0,0,0,0,0,0,42,0,['junit'],java-maven,465462,625343,1343.49,33445,0,1107,34552,0,0.0236864,0.870439,0.010618,0.912274,32,0,3,0,1,0.0,0,0
32532,7764663621,436039945,build,invalidMessage,26b1902c9bf0b2a55888829f2f3cc3c79e5186aa,.github/workflows/build.yml,success,16380626,aDaemonThread,22,12,1.0,4.0,"{'fix', 'chore'}",pull_request,12,0,774.0,1,success,4,edf4c76c6b00d2275a75b9c2dff77df88e481e14,9,443,377,0,1,4,87,3,733,1,1,0,0,7,7,5,3,8,30,3,0,3,2,0,2,1,1,0,45,4,4,376,357,0,0,0,0,0,42,0,['junit'],java-maven,404086,575455,1424.09,31091,0,974,32069,0,0.0479172,0.82469,0.017969,0.77445,0,0,3,0,1,0.0,0,0
32533,9266044150,436039945,build,catalog-assertion-update,3ecc2f0273c19564a474938653c5df80d663f4a5,.github/workflows/build.yml,success,16380626,ankitk-me,22,9,0.0,2.0,{'chore'},pull_request,18,0,1055.0,1,success,2,6ca94d2a894474dbec07bcef916844bff803b329,2,19,1,0,0,0,0,1,20,0,0,0,0,2,2,0,0,0,13,1,0,1,2,0,2,0,1,0,47,0,0,19,1,0,0,0,0,0,42,0,['junit'],java-maven,468635,634601,1354.15,32337,2,921,33260,0,0.0234141,0.978097,0.00462837,0.998457,7,0,3,0,1,0.0,0,0
