id,run_id,repository_id,name,head_branch,head_sha,path,conclusion,workflow_id,actor_name,git_num_committers,repo_team_size_last_3_month,commit_message_issue_ref,gh_commits_on_files_touched,git_commit_attention,trigger_event,gh_pr_description_complexity,gh_num_pr_comments,pr_number,git_same_committer,gh_previous_build_result,git_commits,base_sha,gh_files_modified,gh_lines_added,gh_lines_deleted,gh_other_files,gh_hotspot_files_touched,gh_src_files,gh_src_churn,gh_files_type_modified,gh_test_churn,gh_files_entropy,gh_cross_module_changes,ast_class_added,ast_class_deleted,ast_class_modified,ast_class_changed,ast_met_added,ast_met_deleted,ast_met_changed,ast_met_sig_modified,ast_field_added,ast_field_deleted,ast_field_changed,ast_import_added,ast_import_deleted,ast_import_changed,src_ast_diff,test_ast_diff,gh_dependencies_churn,dependencies_count,gh_files_added,gh_files_deleted,gh_tests_added,gh_tests_deleted,gh_doc_files,gh_config_files,ast_met_body_modified,dockerfile_changed,docker_compose_changed,workflow_size,external_github_resource,test_frameworks,build_language,sloc_initial,test_lines_initial,test_lines_per_1000_sloc,tests_passed,tests_failed,tests_skipped,tests_total,tests_ran,repo_fail_rate_history,gh_committer_bayesian_trust_score_history,repo_fail_rate_recent,gh_committer_bayesian_trust_score_recent,git_committer_repo_exp,is_core_member,concurrent_jobs,committer_cross_project_exp,gh_committer_first_build,prev_build_same_files_touched,repo_ci_config_churn_nums,is_master
52600,8959433223,2700159,Java CI,master,2b81bbbd7177fdb514f60b601ca58a1e4b5c5c49,.github/workflows/ci.yaml,success,27918753,lizongbo,358,21,1.0,1.0,,pull_request,36,0,5888.0,1,failure,1,0467284aaa957cc3fcb96e76e4e95a176c5c46e8,1,73,2,0,0,1,3,1,72,0,0,2,0,1,3,0,0,0,10,0,0,0,14,0,14,1,1,0,18,2,0,72,0,0,0,1,0,0,41,0,['junit'],java-maven,465993,384044,824.141,51890,2,0,51892,1,0.0438048,0.528725,0.0262829,0.552635,33,0,4,0,0,1,0,1
52601,7793551640,2700159,Java CI,master,502a59df1f5f5da0f193796f29a560a3475db3b7,.github/workflows/ci.yaml,success,27918753,nyoungo,343,37,0.0,0.0,,pull_request,41,0,5730.0,1,success,3,e67b2f47112cd566827a5e6aa14fca96cd0fc789,6,82,12,0,0,3,26,1,68,0,0,1,0,6,7,0,0,0,140,0,0,0,4,0,4,1,1,0,18,1,0,57,11,0,0,3,0,0,41,0,['junit'],java-maven,462443,381141,824.19,51462,6,0,51468,1,0.0337922,0.759004,0.0175219,0.768043,1,0,4,0,0,1,0,1
52602,7777219967,2700159,Java CI,update-PG-cursor-output-in-pl-declaration,acf13f6d1afbcdea273ff6d6f5db2461d39e6815,.github/workflows/ci.yaml,success,27918753,ZhengguanLi,340,35,0.0,0.0,,pull_request,51,0,5728.0,1,failure,2,e67b2f47112cd566827a5e6aa14fca96cd0fc789,20,150,210,0,0,15,276,3,80,1,1,0,3,17,20,0,3,3,369,0,2,2,6,28,34,1,1,0,18,0,3,11,69,0,1,12,0,0,41,0,['junit'],java-maven,462362,381037,824.11,51476,4,0,51480,1,0.0350438,0.70177,0.0175219,0.708028,2,0,4,0,1,0,0,0
52603,9024868160,2700159,Java CI,pr/elseif-statement-parent-relation-update,fe4a37a626a7714b22aebd3ee59ee518c789125a,.github/workflows/ci.yaml,success,27918753,ZhengguanLi,359,22,0.0,1.0,,pull_request,110,0,5898.0,0,success,1,4ba135cc40eaab9f988047eced39356c0dbd49e9,1,2,2,0,0,1,4,1,0,0,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0,1,0,0,18,0,0,0,0,0,0,1,0,0,41,0,['junit'],java-maven,466099,384133,824.145,51880,4,0,51884,1,0.0500626,0.696406,0.0212766,0.98227,9,0,4,0,1,0,0,0
52604,7987123756,2700159,Java CI,fix-webconsole,e5ba4de60fdd3c70b509ee319118943ff7e18d45,.github/workflows/ci.yaml,success,27918753,qxo,344,35,0.0,0.0,,pull_request,4,0,5742.0,0,success,6,8d5d448dcf2c973606e40f6133632511b8c8a300,77,363,1081,0,0,35,685,4,759,1,1,0,6,62,68,0,10,10,516,1,10,11,0,59,59,1,1,0,18,0,6,124,635,0,0,59,0,0,41,0,['junit'],java-maven,462491,381201,824.234,51576,4,0,51580,1,0.0513141,0.631966,0.0250313,0.763871,9,1,4,0,0,0,0,0
52605,7777237324,2700159,Java CI,update-oracle-and-pg-elsif-output,3a3d8f97baa05df19a310e9aa8bb26e1a1d3dea0,.github/workflows/ci.yaml,success,27918753,ZhengguanLi,344,39,0.0,0.0,,pull_request,113,0,5727.0,1,success,2,e67b2f47112cd566827a5e6aa14fca96cd0fc789,23,57,216,0,0,15,181,3,88,1,1,0,3,20,23,0,3,3,369,0,2,2,6,28,34,1,1,0,18,0,3,15,73,0,1,15,0,0,41,0,['junit'],java-maven,462277,381037,824.261,51462,6,0,51468,1,0.0350438,0.721652,0.0175219,0.727493,2,0,4,0,1,0,0,0
52606,7974721080,2700159,Java CI,fix-github-ci,681c717f10e6a38f558896ca33d404e864a27482,.github/workflows/ci.yaml,success,27918753,qxo,344,36,0.0,0.0,,pull_request,51,0,5737.0,1,failure,1,8d5d448dcf2c973606e40f6133632511b8c8a300,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,41,0,['junit'],java-maven,463054,381712,824.336,51562,6,0,51568,1,0.0375469,0.613267,0.0150188,0.740613,9,1,4,0,0,0,0,0
52607,7751007492,2700159,Java CI,master,319da9cb44579f96a55f97acfbbc48e33cd133b9,.github/workflows/ci.yaml,failure,27918753,zijing66,340,35,0.0,0.0,,pull_request,19,0,5713.0,0,failure,1,0a9754e531cd07758e515cf9cf8dee576c77ef3f,11,88,83,0,0,7,109,1,62,0,0,1,1,11,13,0,1,1,147,0,0,0,15,13,28,1,1,0,18,1,1,52,10,0,0,11,0,0,41,0,['junit'],java-maven,462312,381078,824.287,0,0,0,0,0,0.0262829,0.695512,0.0100125,0.707134,0,0,1,0,1,1,0,1
52608,7776961699,2700159,Java CI,update-SQL-while-loop-output,2dfebe72772e54c0ac3b7df15efa10ef9addcccb,.github/workflows/ci.yaml,success,27918753,ZhengguanLi,340,35,0.0,0.0,,pull_request,101,0,5726.0,1,success,1,e67b2f47112cd566827a5e6aa14fca96cd0fc789,24,173,216,0,0,17,214,3,171,1,1,3,3,19,25,0,3,3,451,0,2,2,24,28,52,1,1,0,18,1,3,100,71,0,1,13,0,0,41,0,['junit'],java-maven,462355,381124,824.31,51496,4,0,51500,1,0.0337922,0.73592,0.0162703,0.743221,2,0,4,0,1,0,0,0
52609,8792327960,2700159,Java CI,fix-table-alias-reset-empty-for-join-query,d59dd3f014c160900d305e65c4beade9d6af4e57,.github/workflows/ci.yaml,success,27918753,ZhengguanLi,353,18,0.0,0.0,,pull_request,169,0,5864.0,1,failure,4,cf165de09f6da8ad823156a9400ec50bfb25e726,2,33,2,0,0,1,8,1,27,0,0,0,0,2,2,1,0,1,14,0,0,0,0,0,0,1,1,0,18,0,0,27,0,0,0,0,0,0,41,0,['junit'],java-maven,464758,382846,823.753,51738,2,0,51740,1,0.0125156,0.709816,0.0100125,0.631813,3,0,4,0,1,0,0,0
52610,7982009201,2700159,Java CI,Oracle-REVERSE-FOR-Loop-support,5b716412d5bc7d52734bd46ef9a24b060e11dbd3,.github/workflows/ci.yaml,success,27918753,ZhengguanLi,343,34,0.0,0.0,,pull_request,56,0,5734.0,1,failure,6,8d5d448dcf2c973606e40f6133632511b8c8a300,66,301,1139,0,0,23,505,1,935,0,0,0,8,66,74,3,10,13,451,2,10,12,0,75,75,1,1,0,18,0,8,178,757,0,0,65,0,0,41,0,['junit'],java-maven,462416,381133,824.221,51596,4,0,51600,1,0.0513141,0.404218,0.0250313,0.343742,17,0,4,0,1,0,0,0
52611,9014071106,2700159,Java CI,master,269dc4871ddcb4e9ada981b7edbc43e921c7d90b,.github/workflows/ci.yaml,success,27918753,xuzhen1994,358,21,0.0,1.0,{'fix'},pull_request,90,0,5893.0,0,success,1,70c3bcf120982e246ff3913569523e42f1317e3b,36,272,482,0,1,23,379,5,371,1,1,1,5,29,35,0,8,8,298,3,3,6,32,50,82,1,1,0,18,1,5,75,296,0,1,21,0,0,41,0,['junit'],java-maven,466096,384044,823.959,0,0,0,0,0,0.0463079,0.96141,0.0212766,0.98227,0,0,1,0,1,1,0,1
52612,7890708254,2700159,Java CI,support-Oracle-declaration-NOT-NULL-constraint,e56a3fd9cd2240d01d75917638c9103fb2c2ed40,.github/workflows/ci.yaml,failure,27918753,ZhengguanLi,343,36,0.0,0.0,,pull_request,73,0,5733.0,1,failure,2,e67b2f47112cd566827a5e6aa14fca96cd0fc789,4,62,2,0,0,3,22,1,42,0,0,0,0,4,4,3,0,3,94,1,0,1,3,0,3,1,1,0,18,0,0,42,0,0,0,0,0,0,41,0,['junit'],java-maven,462433,381137,824.199,51496,4,0,51500,1,0.0337922,0.622686,0.00375469,0.664581,2,0,4,0,1,0,0,0
