id,run_id,repository_id,name,head_branch,head_sha,path,conclusion,workflow_id,actor_name,git_num_committers,repo_team_size_last_3_month,commit_message_issue_ref,gh_commits_on_files_touched,git_commit_attention,trigger_event,gh_pr_description_complexity,gh_num_pr_comments,pr_number,git_same_committer,gh_previous_build_result,git_commits,base_sha,gh_files_modified,gh_lines_added,gh_lines_deleted,gh_other_files,gh_hotspot_files_touched,gh_src_files,gh_src_churn,gh_files_type_modified,gh_test_churn,gh_files_entropy,gh_cross_module_changes,ast_class_added,ast_class_deleted,ast_class_modified,ast_class_changed,ast_met_added,ast_met_deleted,ast_met_changed,ast_met_sig_modified,ast_field_added,ast_field_deleted,ast_field_changed,ast_import_added,ast_import_deleted,ast_import_changed,src_ast_diff,test_ast_diff,gh_dependencies_churn,dependencies_count,gh_files_added,gh_files_deleted,gh_tests_added,gh_tests_deleted,gh_doc_files,gh_config_files,ast_met_body_modified,dockerfile_changed,docker_compose_changed,workflow_size,external_github_resource,test_frameworks,build_language,sloc_initial,test_lines_initial,test_lines_per_1000_sloc,tests_passed,tests_failed,tests_skipped,tests_total,tests_ran,repo_fail_rate_history,gh_committer_bayesian_trust_score_history,repo_fail_rate_recent,gh_committer_bayesian_trust_score_recent,git_committer_repo_exp,is_core_member,concurrent_jobs,committer_cross_project_exp,gh_committer_first_build,prev_build_same_files_touched,repo_ci_config_churn_nums,is_master
51521,7584949586,1553758,Build,lb_2895_UI_test_timeout,77279721996247b86e1106f4eac907ed48a3f7f4,.github/workflows/maven.yml,success,52327453,LorenzoBettini,192,7,0.0,0.0,,push,0,0,,1,success,1,f393871993f8a35f8ea8492822f0ab98b71bac97,2,70,38,0,0,0,0,2,108,1,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0,0,1,0,16,0,0,70,38,0,0,0,0,0,54,0,[],java-maven,2989602,3622303,1211.63,0,0,0,0,1,0.0148148,0.936062,0.000925926,0.999822,115,0,3,0,1,0,0,0
51522,9476789417,1553758,Build,cd-202409,240575af5471a352c5c3d8044863aa873fffedec,.github/workflows/maven.yml,success,52327453,cdietrich,196,10,0.0,0.0,,push,8,0,3085.0,0,failure,1,f82bd8fef8269912d49c8d108806436c3f3cc9b2,7,7,7,2,0,1,2,3,8,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,22,0,0,4,4,0,0,1,0,0,89,0,[],java-maven,3046443,3754255,1232.34,0,0,0,0,1,0.0222222,0.836601,0.00740741,0.798148,24,1,5,0,0,0,0,0
51523,9081116313,1553758,Build,lb_java_21,d3c35d7af2dcfe656b9c0b7cff135a3ad5d6221e,.github/workflows/maven.yml,success,52327453,LorenzoBettini,195,11,0.0,0.0,,push,322,0,2986.0,1,success,37,ad4edb439aeb9cdc70a8fdf00a9188ce8b989384,39,487,198,19,0,9,29,8,493,3,1,1,0,7,8,4,3,7,8,1,3,4,13,15,28,1,1,0,20,2,0,339,154,2,1,14,0,0,95,0,[],java-maven,2989961,3623690,1211.95,0,0,0,0,1,0.0185185,0.919259,0.00648148,0.880447,71,0,5,0,1,0,0,0
51524,9116564568,1553758,Build,lb_2957,d3ce80ae4db3fa8d64df2d2f1db4d7a1f1cafbd7,.github/workflows/maven.yml,success,52327453,LorenzoBettini,195,11,,,,pull_request,0,0,,0,success,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,95,0,[],java-maven,3059940,3767070,1231.09,0,0,0,0,1,0.0212963,0.923404,0.00740741,0.917918,85,0,5,0,1,1,0,0
51525,9058150719,1553758,Build,miklossy_issue_3007,ddef35476eda0332550d3194ffe52096cb24c480,.github/workflows/maven.yml,success,52327453,miklossy,195,11,0.0,0.0,,push,131,0,3024.0,0,success,1,4f311285f6c955808edf947bf80dd4553147b8c7,1,18,7,0,0,0,0,1,25,0,0,0,0,1,1,1,0,1,6,0,0,0,0,0,0,0,1,0,16,0,0,18,7,0,0,0,0,0,87,0,[],java-maven,2989783,3623412,1211.93,0,0,0,0,1,0.0166667,0.804487,0.00462963,0.784061,3,1,4,0,0,0,0,0
51526,7948480602,1553758,Build,main,84021e3ec58046fac227cf28eaaa0dcaac4da1bc,.github/workflows/maven.yml,success,52327453,cdietrich,193,7,0.0,0.0,,push,6,0,2935.0,1,success,1,95b6438f5db694d1ec115fc7f10a3ce3ecc9ce05,27,33,33,9,0,3,18,3,30,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,16,0,0,15,15,0,0,2,0,0,54,0,[],java-maven,2990202,3622725,1211.53,0,0,0,0,1,0.0,1.0,0.0,1.0,12,1,3,0,0,1,0,1
51527,9008453323,1553758,Build,main,26aeebb072c69820303dc7ce2d8b44bc54bb6f72,.github/workflows/maven.yml,success,52327453,cdietrich,195,11,0.0,0.0,,push,0,0,,1,success,1,4e6b5696dbe49b52e99d7d698cd7be697f70281b,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,1,0,0,0,0,0,87,0,[],java-maven,2989712,3623226,1211.9,0,0,0,0,1,0.0166667,0.895833,0.000925926,0.899537,8,1,4,0,0,1,0,1
51528,8911387502,1553758,Build,main,cbb2edc072534b24b78c94e1b98e0951992e22e1,.github/workflows/maven.yml,success,52327453,LorenzoBettini,195,11,0.0,0.0,,push,6,0,3025.0,1,success,1,0afffe3fb47c145e133fa6009b1df34f15114ffd,1,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,87,0,[],java-maven,2989712,3623226,1211.9,0,0,0,0,1,0.0222222,0.926731,0.000925926,0.999909,46,0,4,0,1,1,0,1
51529,7583708626,1553758,Build,main,f393871993f8a35f8ea8492822f0ab98b71bac97,.github/workflows/maven.yml,success,52327453,LorenzoBettini,192,7,0.0,0.0,,push,195,0,2913.0,1,success,4,e8ba5ad25c0570088b2da16d674dd42306d537e3,2,56,40,0,0,1,60,1,36,0,1,1,0,2,3,0,1,1,87,0,0,0,0,0,0,1,1,0,16,1,0,32,4,0,0,1,0,0,54,0,[],java-maven,2989570,3622271,1211.64,0,0,0,0,1,0.0148148,0.935382,0.000925926,0.999815,115,0,3,0,1,1,0,1
51530,9124735983,1553758,Build,cd-mwe2180M3,dc99ce2692492eec5b2cb366b569e4d9d453f245,.github/workflows/maven.yml,success,52327453,cdietrich,195,11,0.0,0.0,,push,8,0,3046.0,0,success,1,83e6497aa4513737a0b01db2a35081a85e18e6b0,30,46,46,10,0,3,18,3,36,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,22,0,0,18,18,0,0,2,0,0,95,0,[],java-maven,3060893,3768323,1231.12,0,0,0,0,1,0.0212963,0.849809,0.00740741,0.892788,16,1,5,0,0,0,0,0
