id,run_id,repository_id,name,head_branch,head_sha,path,conclusion,workflow_id,actor_name,git_num_committers,repo_team_size_last_3_month,commit_message_issue_ref,gh_commits_on_files_touched,git_commit_attention,trigger_event,gh_pr_description_complexity,gh_num_pr_comments,pr_number,git_same_committer,gh_previous_build_result,git_commits,base_sha,gh_files_modified,gh_lines_added,gh_lines_deleted,gh_other_files,gh_hotspot_files_touched,gh_src_files,gh_src_churn,gh_files_type_modified,gh_test_churn,gh_files_entropy,gh_cross_module_changes,ast_class_added,ast_class_deleted,ast_class_modified,ast_class_changed,ast_met_added,ast_met_deleted,ast_met_changed,ast_met_sig_modified,ast_field_added,ast_field_deleted,ast_field_changed,ast_import_added,ast_import_deleted,ast_import_changed,src_ast_diff,test_ast_diff,gh_dependencies_churn,dependencies_count,gh_files_added,gh_files_deleted,gh_tests_added,gh_tests_deleted,gh_doc_files,gh_config_files,ast_met_body_modified,dockerfile_changed,docker_compose_changed,workflow_size,external_github_resource,test_frameworks,build_language,sloc_initial,test_lines_initial,test_lines_per_1000_sloc,tests_passed,tests_failed,tests_skipped,tests_total,tests_ran,repo_fail_rate_history,gh_committer_bayesian_trust_score_history,repo_fail_rate_recent,gh_committer_bayesian_trust_score_recent,git_committer_repo_exp,is_core_member,concurrent_jobs,committer_cross_project_exp,gh_committer_first_build,prev_build_same_files_touched,repo_ci_config_churn_nums,is_master
32165,8751170853,198181246,Java CI with Maven,2022.0.x-upgrade,c83ec644e90a063fdff0a30dd1299553a68b8203,.github/workflows/maven.yml,success,1345677,chengyouling,37,2,1.0,3.0,{'revert'},pull_request,8,0,1257.0,1,failure,3,f17c0fa9f89bb5967f625316bbd2110c39964df0,28,188,794,1,1,19,525,4,453,1,1,4,8,19,31,1,12,13,19,1,3,4,44,91,135,1,1,0,1,1,8,92,361,0,0,4,0,0,220,1,[],java-maven,33345,21925,657.52,0,0,0,0,0,0.0362117,0.700557,0.0139276,0.733177,5,0,1,0,0,0,0,0
32166,8750592061,198181246,Java CI with Maven,master-upgrade,62d84ea01e75f324386f1dde07172ecc1cdb2edf,.github/workflows/maven.yml,success,1345677,chengyouling,37,2,1.0,2.0,{'docs'},pull_request,8,0,1256.0,1,failure,2,dd1bdc2a10a258e148398fec4d8dad9408926f8e,2,9,3,0,0,2,12,2,0,1,1,0,0,1,1,0,0,0,4,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,220,1,[],java-maven,33751,22194,657.581,0,0,0,0,0,0.0362117,0.700557,0.0111421,0.761429,5,0,1,0,0,0,0,0
32167,9560125870,198181246,Java CI with Maven,2021.0.x-cc,8db969cdb894425bdaa59464edd280a3b07abacb,.github/workflows/maven.yml,success,1345677,chengyouling,37,0,1.0,3.0,{'ci'},pull_request,16,0,1281.0,1,failure,3,11f75904d757aa5b0165046706068cb2b9436653,2,40,7,0,1,2,47,2,0,1,1,0,0,1,1,2,0,2,12,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,220,1,[],java-maven,31860,21925,688.167,0,0,0,0,0,0.00557103,0.774683,0.00557103,0.746518,0,0,1,0,0,0,0,0
32168,7610306410,198181246,Java CI with Maven,2021.0.x-license,2a6e11338bcf485e421e926e4289347892215e2a,.github/workflows/maven.yml,success,1345677,chengyouling,37,3,1.0,3.0,{'docs'},pull_request,12,0,1202.0,1,failure,3,ad9494ea36b29ef5452575abe3d0092c381c0e25,608,610,610,14,1,285,570,9,608,1,1,0,0,439,439,0,0,0,795,0,0,0,0,0,0,1,1,0,1,0,0,304,304,0,5,0,0,0,31,0,[],java-maven,32033,22139,691.131,0,0,0,0,0,0.0473538,0.869258,0.0167131,0.805544,15,0,1,0,0,0,0,0
32169,8387584188,198181246,Java CI with Maven,master-health,5ca4a8103fcc8030b4a02ec473fc3b33ff0dc5eb,.github/workflows/maven.yml,success,1345677,chengyouling,37,2,1.0,5.0,"{'feat', 'fix'}",pull_request,12,0,1239.0,1,failure,5,aaa8878cd70f3ff43d76be39148e0bf1d0b7732c,1,28,11,0,1,1,39,1,0,0,0,0,0,1,1,1,0,1,3,2,0,2,5,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,31,0,[],java-maven,31956,21925,686.1,0,0,0,0,0,0.0194986,0.727019,0.0111421,0.631299,2,0,1,0,0,1,0,0
32170,7605964384,198181246,Java CI with Maven,2021.0.x-boot2718,7af14af7985ab11e1e7724dc79d8c0f2f2747388,.github/workflows/maven.yml,success,1345677,chengyouling,37,3,1.0,1.0,,pull_request,22,0,1199.0,1,success,1,1ca39230e342d689c114fa29d541bb2fc39d10e4,1,2,2,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,0,[],java-maven,32033,22139,691.131,0,0,0,0,0,0.0362117,0.89343,0.0,1.0,13,0,1,0,0,0,0,0
32171,8780353839,198181246,Java CI with Maven,2022.0.x-health,8abb7e3ccde0356f234566e974d3420fef1d9277,.github/workflows/maven.yml,success,1345677,chengyouling,37,2,1.0,1.0,,pull_request,20,0,1261.0,1,success,1,0e90ccbdf3bc2172ec4b84734d54b4963a0487f2,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,220,1,[],java-maven,33755,22194,657.503,0,0,0,0,0,0.0334262,0.720822,0.0167131,0.756657,4,0,1,0,0,0,0,0
32172,7677619836,198181246,Java CI with Maven,master-hession,5f4892d62439d27aadccca06ea8ea81081492b41,.github/workflows/maven.yml,success,1345677,chengyouling,37,4,1.0,1.0,,pull_request,15,0,1215.0,1,failure,1,ce84bb98a920a504b4b09f884fe95ab935069311,1,1,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,0,[],java-maven,31700,21925,691.64,0,0,0,0,0,0.0584958,0.8425,0.0334262,0.753315,14,0,1,0,0,0,0,0
32173,7707432476,198181246,Java CI with Maven,master-weighted,f9945bda146260f7c08302fd29e2689eabcfea7e,.github/workflows/maven.yml,success,1345677,chengyouling,37,3,1.0,6.0,"{'feat', 'fix'}",pull_request,8,0,1204.0,1,failure,6,e26a5d2075c26ef7e234d4ab1903d001d454b0ed,15,384,51,0,1,15,407,1,28,0,1,4,0,14,18,4,0,4,45,2,0,2,53,6,59,1,1,0,1,3,0,14,14,0,0,11,0,0,31,0,[],java-maven,31863,21925,688.102,0,0,0,0,0,0.0640668,0.801398,0.0250696,0.770814,14,0,1,0,0,1,0,0
32174,8965711343,198181246,Java CI with Maven,2022.0.x-include,ec62b4ed375fe0fc5ac2935bd8f093ca97698e39,.github/workflows/maven.yml,success,1345677,chengyouling,37,1,1.0,1.0,{'fix'},pull_request,20,0,1269.0,1,success,1,deaca1e164ee5818941f501f17c1a3798e8109e9,8,361,26,0,0,6,67,1,320,0,0,0,0,8,8,40,3,43,5,2,0,2,1,0,1,1,1,0,1,0,0,306,14,0,0,14,0,0,220,1,[],java-maven,34034,22486,660.692,0,0,0,0,0,0.0222841,0.802161,0.00278552,0.907825,5,0,1,0,0,0,0,0
