id,run_id,repository_id,name,head_branch,head_sha,path,conclusion,workflow_id,actor_name,git_num_committers,repo_team_size_last_3_month,commit_message_issue_ref,gh_commits_on_files_touched,git_commit_attention,trigger_event,gh_pr_description_complexity,gh_num_pr_comments,pr_number,git_same_committer,gh_previous_build_result,git_commits,base_sha,gh_files_modified,gh_lines_added,gh_lines_deleted,gh_other_files,gh_hotspot_files_touched,gh_src_files,gh_src_churn,gh_files_type_modified,gh_test_churn,gh_files_entropy,gh_cross_module_changes,ast_class_added,ast_class_deleted,ast_class_modified,ast_class_changed,ast_met_added,ast_met_deleted,ast_met_changed,ast_met_sig_modified,ast_field_added,ast_field_deleted,ast_field_changed,ast_import_added,ast_import_deleted,ast_import_changed,src_ast_diff,test_ast_diff,gh_dependencies_churn,dependencies_count,gh_files_added,gh_files_deleted,gh_tests_added,gh_tests_deleted,gh_doc_files,gh_config_files,ast_met_body_modified,dockerfile_changed,docker_compose_changed,workflow_size,external_github_resource,test_frameworks,build_language,sloc_initial,test_lines_initial,test_lines_per_1000_sloc,tests_passed,tests_failed,tests_skipped,tests_total,tests_ran,repo_fail_rate_history,gh_committer_bayesian_trust_score_history,repo_fail_rate_recent,gh_committer_bayesian_trust_score_recent,git_committer_repo_exp,is_core_member,concurrent_jobs,committer_cross_project_exp,gh_committer_first_build,prev_build_same_files_touched,repo_ci_config_churn_nums,is_master
46833,6372800013,19753195,CI,main,1abb8f267e20843806f0e148ec766d96a1952fcc,.github/workflows/ci-build.yml,success,14623714,wborn,510,60,0.0,0.0,,push,37,0,15612.0,0,success,1,1abb8f267e20843806f0e148ec766d96a1952fcc,1,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,90,0,['junit'],java-maven,2596829,236987,91.2601,0,0,0,0,0,0.0,1.0,0.0,1.0,1,0,1,0,1,1,0,1
46834,6372945637,19753195,CI,main,1f0e430506097f1a268e7cbb75e45e4451021592,.github/workflows/ci-build.yml,success,14623714,kaikreuzer,510,60,0.0,0.0,,push,37,0,15612.0,0,success,1,1abb8f267e20843806f0e148ec766d96a1952fcc,1,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,90,0,['junit'],java-maven,2596829,236987,91.2601,0,0,0,0,0,0.0,1.0,0.0,1.0,1,0,1,0,1,1,0,1
46835,6373075674,19753195,CI,energidataservice-gson,634bb519afd8e81db6e3cc18f92b81976a707492,.github/workflows/ci-build.yml,failure,14623714,jlaur,510,60,0.0,0.0,,pull_request,68,0,15681.0,0,success,1,1f0e430506097f1a268e7cbb75e45e4451021592,1,0,8,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,90,0,['junit'],java-maven,2596822,236987,91.2604,50,0,0,112,0,0.000209644,0.833159,0.000209644,0.833159,7,1,1,0,0,0,0,0
46836,6373220133,19753195,CI,main,e32bc258e9c5092e59baee2c6b8c84369074b0be,.github/workflows/ci-build.yml,failure,14623714,kaikreuzer,505,46,0.0,0.0,,push,43,0,15677.0,0,failure,1,1f0e430506097f1a268e7cbb75e45e4451021592,17,50,50,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,50,50,0,0,0,0,0,90,0,['junit'],java-maven,2596829,236987,91.2601,0,0,0,0,0,0.000419287,0.856843,0.000419287,0.856843,1,0,1,0,1,1,0,1
46837,6373742176,19753195,CI,freeboxos_websocket_optional,398ecef66b0765f795d2e19864c579546eb39a5e,.github/workflows/ci-build.yml,failure,14623714,clinique,510,60,,,,pull_request,0,0,,0,failure,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,90,0,['junit'],java-maven,2600910,239173,91.9574,0,0,0,0,0,0.000628931,0.832809,0.000628931,0.832809,5,0,1,0,1,0,0,0
46838,6373871729,19753195,CI,freeboxos_websocket_optional,4d095562cde6f1db401979a70e9dff28454cac3d,.github/workflows/ci-build.yml,failure,14623714,clinique,510,60,0.0,0.0,,pull_request,517,0,15543.0,1,failure,11,e32bc258e9c5092e59baee2c6b8c84369074b0be,10,119,86,1,0,8,178,4,0,2,0,0,0,3,3,0,1,1,5,1,1,2,0,1,1,1,0,0,25,0,0,0,0,1,0,2,0,0,90,0,['junit'],java-maven,2596866,236987,91.2589,0,0,0,0,0,0.000838574,0.713687,0.000838574,0.713687,5,0,1,0,1,0,0,0
46839,6376342431,19753195,CI,main,b27545324253ab57ccf9f5eabf54a89b598f3c4d,.github/workflows/ci-build.yml,failure,14623714,wborn,510,61,0.0,0.0,,push,68,0,15681.0,0,failure,1,e32bc258e9c5092e59baee2c6b8c84369074b0be,1,0,8,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,90,0,['junit'],java-maven,2596822,236987,91.2604,138,0,0,138,0,0.00104822,0.856394,0.00104822,0.856394,3,0,1,0,1,1,0,1
46840,6376856566,19753195,CI,freeboxos-gson,bad31f7a11eb066e993aa69375bae86ae69bc144,.github/workflows/ci-build.yml,success,14623714,jlaur,510,61,0.0,0.0,,pull_request,59,0,15682.0,0,failure,1,b27545324253ab57ccf9f5eabf54a89b598f3c4d,1,0,5,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,90,0,['junit'],java-maven,2596817,236987,91.2606,0,0,0,0,0,0.00104822,0.856394,0.00104822,0.856394,8,1,1,0,0,0,0,0
46841,6376920323,19753195,CI,main,840277d3b9fda918c039632fa7790ca1f988c839,.github/workflows/ci-build.yml,success,14623714,lolodomo,510,60,0.0,0.0,,push,59,0,15682.0,0,success,1,b27545324253ab57ccf9f5eabf54a89b598f3c4d,1,0,5,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,90,0,['junit'],java-maven,2596817,236987,91.2606,0,0,0,0,0,0.00104822,0.999126,0.00104822,0.999126,0,1,1,0,0,1,0,1
46842,6377057168,19753195,CI,update-codeowners,edbf9e06b39010014d805ec14859a6a581f30031,.github/workflows/ci-build.yml,failure,14623714,wborn,510,61,,,,pull_request,0,0,,0,success,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,90,0,['junit'],java-maven,2596620,236987,91.2675,138,0,0,138,0,0.00125786,0.749214,0.00125786,0.749214,3,0,1,0,1,0,0,0
